Pose,Type,Depiction,Salient Elements,States,Complementary Poses,Concatonnated String
wolf prop,pose,a wolf,,,"scared, defensive, blocking",wolf prop a wolf  
lion roaring prop,pose,"a lion, female:a lioness, a strong lion","a roar, the roar","of hungry lions, of giant beasts, of a lion, of a strong lion, of a wild lion","scared, defensive, blocking, running away","lion roaring prop a lion, female:a lioness, a strong lion a roar, the roar of hungry lions, of giant beasts, of a lion, of a strong lion, of a wild lion"
lion prop,pose,"a lion, female:a lioness",a safari,"eyeing an oncoming cat, in a lion costume","scared, defensive, blocking","lion prop a lion, female:a lioness a safari eyeing an oncoming cat, in a lion costume"
panther roaring prop,pose,"a panther, a puma, a jaguar, a leopard, a jungle panther, a jungle cat, an apex predator",a roar,on the prowl,"scared, defensive, blocking, running away","panther roaring prop a panther, a puma, a jaguar, a leopard, a jungle panther, a jungle cat, an apex predator a roar on the prowl"
panther prop,pose,"a panther, a puma, a jaguar, a cheetah, a cougar, a bobcat, a jungle cat, a jungle cat",,eyeing an oncoming cat,"scared, defensive, blocking","panther prop a panther, a puma, a jaguar, a cheetah, a cougar, a bobcat, a jungle cat, a jungle cat  eyeing an oncoming cat"
tiger roaring prop,pose,"a tiger, a tigress, a big cat, an apex predator",a roar,"on the prowl, with a tiger, from a sabre toothed tiger, of hungry tigers","scared, defensive, blocking","tiger roaring prop a tiger, a tigress, a big cat, an apex predator a roar on the prowl, with a tiger, from a sabre toothed tiger, of hungry tigers"
dog prop,pose,"a dog, a puppy, a pup, a greyhound, a chihuahua, female:a female dog, a circus dog","the dog, a lost puppy, a boston terrier, a cocker spaniel, a golden retriever","of a dog, from a lap dog, with a springy tail, in a dog costume",rewarding,"dog prop a dog, a puppy, a pup, a greyhound, a chihuahua, female:a female dog, a circus dog the dog, a lost puppy, a boston terrier, a cocker spaniel, a golden retriever of a dog, from a lap dog, with a springy tail, in a dog costume"
monolith prop,pose,"a monolith, an enigma, a brick wall","a slab, a giant slab",,"bowing, pointing","monolith prop a monolith, an enigma, a brick wall a slab, a giant slab "
timebomb prop,pose,"a time bomb, a timebomb, a bomb, a ticking bomb",a fuse,"of destruction, to disaster, to destruction, of impending doom, of bad timing, stuffed with explosives, packed with explosives, rigged with explosives, of a bomb, filled with explosives, of an unexploded bomb","scared, defensive, blocking, running away","timebomb prop a time bomb, a timebomb, a bomb, a ticking bomb a fuse of destruction, to disaster, to destruction, of impending doom, of bad timing, stuffed with explosives, packed with explosives, rigged with explosives, of a bomb, filled with explosives, of an unexploded bomb"
penguin prop,pose,a penguin,"an iceberg, a penguin, a baby penguin, a dead penguin, an igloo","about penguins, of penguins","shrugging, put out, confused","penguin prop a penguin an iceberg, a penguin, a baby penguin, a dead penguin, an igloo about penguins, of penguins"
bull prop,pose,a bull,the bull,at a rodeo,goading,bull prop a bull the bull at a rodeo
sundae prop,pose,"an icecream sundae, a sundae, a dessert","a cherry, whipped cream, icecream, ice cream",,"hungry, joy","sundae prop an icecream sundae, a sundae, a dessert a cherry, whipped cream, icecream, ice cream "
meteor prop,pose,"a meteor, a meteor shower, an asteroid",,,"running away, shielding behind umbrella, shielding with umbrella","meteor prop a meteor, a meteor shower, an asteroid  "
cow prop,pose,"a cow, a milk cow, a heifer","a pregnant cow, a sedated cow","of cattle, of a cow","farming, riding","cow prop a cow, a milk cow, a heifer a pregnant cow, a sedated cow of cattle, of a cow"
brundlefly prop,pose,"a monster, an abomination, an experiment, a mutation, a weird creature, a fly, a creature, a freak, a monstrous freak, an alien, an absolute freak, a leper","bubonic plague, the plague, the fly, a freak show, a carbuncle festival, a mutant","for mutants, of the damned, of a monster, of Dorian Gray, with a monster, of leprosy, of scabies, of the shingles, of bubonic plague, of small pox, of the plague, of the bubonic plague, of genetic engineering, of alien invasion, of lepers, of monstrous creatures, full of monsters, of monsters, of alien invaders, of lepers, full of freaks, covered with leprosy, of freaks, creating nightmares, working in a freak show, at a freak show","scared, defensive, blocking, running away, experimenting","brundlefly prop a monster, an abomination, an experiment, a mutation, a weird creature, a fly, a creature, a freak, a monstrous freak, an alien, an absolute freak, a leper bubonic plague, the plague, the fly, a freak show, a carbuncle festival, a mutant for mutants, of the damned, of a monster, of Dorian Gray, with a monster, of leprosy, of scabies, of the shingles, of bubonic plague, of small pox, of the plague, of the bubonic plague, of genetic engineering, of alien invasion, of lepers, of monstrous creatures, full of monsters, of monsters, of alien invaders, of lepers, full of freaks, covered with leprosy, of freaks, creating nightmares, working in a freak show, at a freak show"
golden cat prop,pose,a cat,"a paw, a dead cat","of good luck, of good fortune, of fortune",rewarding,"golden cat prop a cat a paw, a dead cat of good luck, of good fortune, of fortune"
silverback prop,pose,"a silverback, a gorilla, an ape, a giant gorilla",a one eyed gorilla,"of epic proportions, at the zoo, of giant beasts, to Kong, of big foot, in a gorilla costume, in a gorilla suit, in a monkey suit, studying gorillas up close","scared, defensive, blocking, cowering","silverback prop a silverback, a gorilla, an ape, a giant gorilla a one eyed gorilla of epic proportions, at the zoo, of giant beasts, to Kong, of big foot, in a gorilla costume, in a gorilla suit, in a monkey suit, studying gorillas up close"
frozen dinosaur prop,pose,"a dinosaur, a fossil","an iceberg, a glacier, a remnant, a cryogenic chamber, a technological dinosaur, the creation museum, an ice age, a refrigerator, a tyrannosaurus rex","of the past, from long ago, of ice, of creationism, of Jurassic Park, of evolution, of ice cubes, in Jurassic Park, filled with dinosaurs, inhabited by dinosaurs, in the ice, for extinction, eating dinosaur ribs, explaining evolution, studying dinosaurs, studying paleontology","probing, bending to see","frozen dinosaur prop a dinosaur, a fossil an iceberg, a glacier, a remnant, a cryogenic chamber, a technological dinosaur, the creation museum, an ice age, a refrigerator, a tyrannosaurus rex of the past, from long ago, of ice, of creationism, of Jurassic Park, of evolution, of ice cubes, in Jurassic Park, filled with dinosaurs, inhabited by dinosaurs, in the ice, for extinction, eating dinosaur ribs, explaining evolution, studying dinosaurs, studying paleontology"
spider prop,pose,"a spider, a tarantula",,,"scared, surprised","spider prop a spider, a tarantula  "
wasps prop,pose,"a swarm of bees, a swarm of wasps",,in the hive,"running away, surprised","wasps prop a swarm of bees, a swarm of wasps  in the hive"
cerberus eating prop,pose,"a hellhound, a hell hound",dog food,"of cheap dog food, of dog food","running away, surprised, slinging mud","cerberus eating prop a hellhound, a hell hound dog food of cheap dog food, of dog food"
clock prop,pose,,,,timekeeping,clock prop   
mouse prop,pose,"a mouse, a rat",a mouse,"with a mouse, of minor importance, of little importance, of no importance, of no consequence",towering,"mouse prop a mouse, a rat a mouse with a mouse, of minor importance, of little importance, of no importance, of no consequence"
stephen hawking,pose,"a scientist, a physicist, stephen hawking, a quadriplegic, a nutty professor","a wheelchair, the science, a black hole, a science, the scientific mode, the scientific study, an axiom, a universe, the scientific mysteries, the scientific consensus, a scientific lecture, the scientific knowledge, the scientific theory, the scientific understanding, the scientific facts, science, positivescience","with a disability, of nuclear physics, of the universe, for dark matter, of quantum physics, of scientific knowledge, from the universe, on dark matter, in a black hole,  of a black hole,  on rocket science, of quantum computing, of space travel, of particle physics, of quantum mechanics, of modern science, of science, for physics, for the sciences, on science, of the scientific method, of the cosmos, through a wormhole, through time and space, of charged particles, of scientific letters, of fantastic imagination, of extraordinary intellect, of tremendous intellect, of original genius, of formidable intellect, of rare intelligence, of brilliant intellect, revolutionizing physics","learning, sick, experimenting","stephen hawking a scientist, a physicist, stephen hawking, a quadriplegic, a nutty professor a wheelchair, the science, a black hole, a science, the scientific mode, the scientific study, an axiom, a universe, the scientific mysteries, the scientific consensus, a scientific lecture, the scientific knowledge, the scientific theory, the scientific understanding, the scientific facts, science, positivescience with a disability, of nuclear physics, of the universe, for dark matter, of quantum physics, of scientific knowledge, from the universe, on dark matter, in a black hole,  of a black hole,  on rocket science, of quantum computing, of space travel, of particle physics, of quantum mechanics, of modern science, of science, for physics, for the sciences, on science, of the scientific method, of the cosmos, through a wormhole, through time and space, of charged particles, of scientific letters, of fantastic imagination, of extraordinary intellect, of tremendous intellect, of original genius, of formidable intellect, of rare intelligence, of brilliant intellect, revolutionizing physics"
horse prop,pose,"a horse, a bronco, a pony","a wild stallion, a wild horse, a wild bronco, a plow horse","without a rider, without a saddle, in the stable, of wild horses",high fiving,"horse prop a horse, a bronco, a pony a wild stallion, a wild horse, a wild bronco, a plow horse without a rider, without a saddle, in the stable, of wild horses"
brown horse prop,pose,a horse,,"without a bridle, without a saddle",high fiving,"brown horse prop a horse  without a bridle, without a saddle"
donkey prop,pose,"a donkey, a mule",,,whipping,"donkey prop a donkey, a mule  "
pigface prop,pose,"a pig, the proverbial pig, a bush pig",,,farming,"pigface prop a pig, the proverbial pig, a bush pig  "
killing for,pose,a hitman,,attacking neighbors,"commanding, radicalizing",killing for a hitman  attacking neighbors
shooting,pose,"a hitman, a shooter, a gunman, a gun man, a gunfighter","a gun, a pistol, a handgun, a bullet, a firearm, a gunshot, a gunfight, a revolver, a duel, a shot, a cocked pistol, a pistol shot, a starter pistol, a starting pistol, a loaded gun, a starter's gun","with a gun, of bullets, of deadly fire, in a shootout, for personal protection, from a pistol, in a holster, in a gun fight, with a trigger, with a loaded gun, with a bullet, of gunfire, on gun crime, full of guns, at a gunfight, on guns, of a bullet, in a gunfight, with a handgun, from a pistol, holding a pistol, holding a gun, waving a gun, brandishing a gun, pointing a gun, fighting in duels, fighting with the mob, killing for Mi6, killing murderers, retiring replicants","commanding, radicalizing, targeted","shooting a hitman, a shooter, a gunman, a gun man, a gunfighter a gun, a pistol, a handgun, a bullet, a firearm, a gunshot, a gunfight, a revolver, a duel, a shot, a cocked pistol, a pistol shot, a starter pistol, a starting pistol, a loaded gun, a starter's gun with a gun, of bullets, of deadly fire, in a shootout, for personal protection, from a pistol, in a holster, in a gun fight, with a trigger, with a loaded gun, with a bullet, of gunfire, on gun crime, full of guns, at a gunfight, on guns, of a bullet, in a gunfight, with a handgun, from a pistol, holding a pistol, holding a gun, waving a gun, brandishing a gun, pointing a gun, fighting in duels, fighting with the mob, killing for Mi6, killing murderers, retiring replicants"
writing,pose,"a writer, a novelist, an author, a translator","a pen, a pencil, a stylus, the writing, the pen, a headline, a good novelist","of information, of new technologies, in writing, of erudition, of academic freedom, for creative writing, keeping a diary, writing about sex, writing serialized stories, writing about social problems, writing bad movies, writing beat fiction, writing compelling dialogue, writing cook books, writing crime stories, writing detective fiction, writing erotic fiction, writing folksy fiction, writing funny movies, writing hawkish memos, writing horror stories, writing legal fiction, writing modern fiction, writing scripts, writing mystery stories, writing novels, writing pot-boilers, writing science fiction, writing short stories, writing up case notes, writing weird movies","tweeting, learning","writing a writer, a novelist, an author, a translator a pen, a pencil, a stylus, the writing, the pen, a headline, a good novelist of information, of new technologies, in writing, of erudition, of academic freedom, for creative writing, keeping a diary, writing about sex, writing serialized stories, writing about social problems, writing bad movies, writing beat fiction, writing compelling dialogue, writing cook books, writing crime stories, writing detective fiction, writing erotic fiction, writing folksy fiction, writing funny movies, writing hawkish memos, writing horror stories, writing legal fiction, writing modern fiction, writing scripts, writing mystery stories, writing novels, writing pot-boilers, writing science fiction, writing short stories, writing up case notes, writing weird movies"
accusing,pose,"an accuser, a prosecutor",contempt,"of blame, for the prosecution, accused of murder, during an argument, squabbling on television, whining at umpires",sweating,"accusing an accuser, a prosecutor contempt of blame, for the prosecution, accused of murder, during an argument, squabbling on television, whining at umpires"
angry,pose,"a hothead, a hot head, a protester","anger, a feud","of anger, of rage, full of anger, in a rage, of angry letters, with a grudge, moaning about men, moaning about women, playing intense characters","disgusting, taunting, rude","angry a hothead, a hot head, a protester anger, a feud of anger, of rage, full of anger, in a rage, of angry letters, with a grudge, moaning about men, moaning about women, playing intense characters"
arresting,pose,"a policeman, a police officer, a cop, an officer, a crime fighter, a special agent","a badge, a gun, a crackdown, the police,  a holster, crime","of police harassment, in the NYPD, in the LAPD, from the law, from justice, without probable cause, with the police, without a warrant, surrounded by cops, in the force, in the force, for law enforcement, of law enforcement, of Miami Vice, apprehending criminals, arresting criminals, chasing criminals, chasing murderers, preventing crime, preventing terrorism, arresting bootleggers, arresting drug dealers",arrested,"arresting a policeman, a police officer, a cop, an officer, a crime fighter, a special agent a badge, a gun, a crackdown, the police,  a holster, crime of police harassment, in the NYPD, in the LAPD, from the law, from justice, without probable cause, with the police, without a warrant, surrounded by cops, in the force, in the force, for law enforcement, of law enforcement, of Miami Vice, apprehending criminals, arresting criminals, chasing criminals, chasing murderers, preventing crime, preventing terrorism, arresting bootleggers, arresting drug dealers"
attacking,pose,"an attacker, an assailant","an assault, a raid","of vicious attacks, of an assault, of an attack, of violent attacks","defensive, scared, blocking","attacking an attacker, an assailant an assault, a raid of vicious attacks, of an assault, of an attack, of violent attacks"
banishing,pose,,,"of discrimination, of prejudice, of zero tolerance, holding an eviction notice, on the Weakest Link, disappointing suitors, to refuse, to reject","purposeful, put out, shrugging","banishing   of discrimination, of prejudice, of zero tolerance, holding an eviction notice, on the Weakest Link, disappointing suitors, to refuse, to reject"
biting,pose,"a biter, an animal, a wild animal, a beast, a wild beast, a junkyard dog, a rabid dog, a malcontent","fangs, a bite, a bulldog, a snarl, a grizzly bear,  a vicious circle, a bear, a wolverine","with rabies, infected with rabies, of piranha, of rabies, of unparalleled brutality, of bloodlust, on all fours, of a junkyard dog, for a junkyard dog, on a junkyard dog, with a stung bear, of low character, biting opponents, making sarcastic remarks, in a bear pit","running off, running away","biting a biter, an animal, a wild animal, a beast, a wild beast, a junkyard dog, a rabid dog, a malcontent fangs, a bite, a bulldog, a snarl, a grizzly bear,  a vicious circle, a bear, a wolverine with rabies, infected with rabies, of piranha, of rabies, of unparalleled brutality, of bloodlust, on all fours, of a junkyard dog, for a junkyard dog, on a junkyard dog, with a stung bear, of low character, biting opponents, making sarcastic remarks, in a bear pit"
bullying,pose,"a bully, a minotaur","horns, an angry bull, a bull, a rogue rhinoceros, a rhino, a rhinoceros, a rogue elephant, a stampede","of bullying, with a bully, under a bull, bullying schoolkids",defensive,"bullying a bully, a minotaur horns, an angry bull, a bull, a rogue rhinoceros, a rhino, a rhinoceros, a rogue elephant, a stampede of bullying, with a bully, under a bull, bullying schoolkids"
casting off,pose,"a maverick, a free man, a freeman","a freedom, freedom","of freedom, of liberty, of personal freedom, to personal freedom, to personal liberty, for freedom, for independence, to end slavery, for liberation, of slave rebellion, for liberty, escaping from handcuffs, fighting for liberty, making maverick choices","expelled, disappointed, rejected","casting off a maverick, a free man, a freeman a freedom, freedom of freedom, of liberty, of personal freedom, to personal freedom, to personal liberty, for freedom, for independence, to end slavery, for liberation, of slave rebellion, for liberty, escaping from handcuffs, fighting for liberty, making maverick choices"
charging,pose,"a bull, a hothead, an aggressor, a raging bull","horns, a horn, a rhino, a rhinoceros, moloch","of bullying, giving noogies","defensive, hindering, blocking","charging a bull, a hothead, an aggressor, a raging bull horns, a horn, a rhino, a rhinoceros, moloch of bullying, giving noogies"
cold shoulder,pose,an ignoramus,"an iceberg, a disregard, ignorance","without a heart, with no feelings, to clean up, made of stone, made of ice, hardened by bitterness, avoiding eye contact","pleading, begging, introducing oneself, put out","cold shoulder an ignoramus an iceberg, a disregard, ignorance without a heart, with no feelings, to clean up, made of stone, made of ice, hardened by bitterness, avoiding eye contact"
condescending,pose,"a snob, an elitist","an attitude, pity","condescending to customers, making condescending remarks, making patronising comments, being condescending to customers, starring in indy movies","overshadowed, introducing oneself","condescending a snob, an elitist an attitude, pity condescending to customers, making condescending remarks, making patronising comments, being condescending to customers, starring in indy movies"
critical,pose,"a critic, a naysayer, a crab","a colossal waste, an extreme waste, a complete waste, a huge waste","of criticism, for criticism, of public criticism, of international criticism, for critics, on critics, of complaint","rejected, defensive, blocking, defiant","critical a critic, a naysayer, a crab a colossal waste, an extreme waste, a complete waste, a huge waste of criticism, for criticism, of public criticism, of international criticism, for critics, on critics, of complaint"
critical about,pose,"a critic, a naysayer, a crab","a colossal waste, an extreme waste, a complete waste, a huge waste","of criticism, for criticism, of public criticism, of international criticism, for critics, on critics, of complaint","defensive, blocking, defiant","critical about a critic, a naysayer, a crab a colossal waste, an extreme waste, a complete waste, a huge waste of criticism, for criticism, of public criticism, of international criticism, for critics, on critics, of complaint"
decapitating,pose,"a killer, a berserker, a barbarian, an axeman, an axman, a butcher, a Viking, a cave man, a Viking, an executioner","an axe, an ax, a hatchet, an axe blow, the brutality, the slaughter, a bloodbath, a pick axe, a fire axe, a fire ax, a death sentence, a frenzy, a massacre, a partisan axe, an abattoir, a butcher block","of bloody destruction, in a slaughterhouse, of extermination, of extreme violence, of ethnic cleansing, of race extermination, of slaughter, of deadly force, filled with decapitated bodies, from Genghis Khan, to the abattoir, to the slaughter, to wreak vengeance, of unparalleled brutality, with an axe, of human slaughter, to the slaughterhouse, for mass murder, of unspeakable atrocities, of maniacs, from a tomahawk, expressing violent urges, smiting Philistines","running away, blocking, fleeing","decapitating a killer, a berserker, a barbarian, an axeman, an axman, a butcher, a Viking, a cave man, a Viking, an executioner an axe, an ax, a hatchet, an axe blow, the brutality, the slaughter, a bloodbath, a pick axe, a fire axe, a fire ax, a death sentence, a frenzy, a massacre, a partisan axe, an abattoir, a butcher block of bloody destruction, in a slaughterhouse, of extermination, of extreme violence, of ethnic cleansing, of race extermination, of slaughter, of deadly force, filled with decapitated bodies, from Genghis Khan, to the abattoir, to the slaughter, to wreak vengeance, of unparalleled brutality, with an axe, of human slaughter, to the slaughterhouse, for mass murder, of unspeakable atrocities, of maniacs, from a tomahawk, expressing violent urges, smiting Philistines"
defensive,pose,a hold out,"fear, danger","in adversity, of boiling water","charging, bullying, denouncing","defensive a hold out fear, danger in adversity, of boiling water"
defiant,pose,"an upstart, a diehard, a disbeliever, a skeptic, an atheist, a nonbeliever, a tough cookie, a tough egg, a tough fighter, a tough guy, a tough little cookie, an unbeliever, a protester","a dispute, a tough player, conflict","of the resistance, of resistance, of great resistance, with no fear, in the resistance, with the opposition, of wills, of noncompliance, to defy authority, of defiance, on the opposition, of an argument, of fierce anger, with guts, of unshakable courage, of real courage, against injustice, of decisive action, complaining about everything, fighting for justice, standing up to bullies, suppressing violent urges,","critical, taunting, rude, accusing, laughing","defiant an upstart, a diehard, a disbeliever, a skeptic, an atheist, a nonbeliever, a tough cookie, a tough egg, a tough fighter, a tough guy, a tough little cookie, an unbeliever, a protester a dispute, a tough player, conflict of the resistance, of resistance, of great resistance, with no fear, in the resistance, with the opposition, of wills, of noncompliance, to defy authority, of defiance, on the opposition, of an argument, of fierce anger, with guts, of unshakable courage, of real courage, against injustice, of decisive action, complaining about everything, fighting for justice, standing up to bullies, suppressing violent urges,"
denouncing,pose,a critic,disgust,"of hate, of outrage, of indignation, filled with hatred, of wills, issuing fatwas, pushing the hardline, nurturing sibling rivalry, whining at umpires","blocking, defensive, defiant","denouncing a critic disgust of hate, of outrage, of indignation, filled with hatred, of wills, issuing fatwas, pushing the hardline, nurturing sibling rivalry, whining at umpires"
destructive,pose,"a destroyer, a barbarian, a caveman, a demolition man","a hammer, a sledgehammer, an onslaught, a mallet, a sledge hammer blow, a sledgehammer blow, the brutality, a barrage, a battering, a hammering, a hammer blow, a sledgehammer smash, the clubbing, a crackdown, a wrecking ball, a jackhammer, a steamroller, depopulation","of destruction, of impending doom, of bloody destruction, of death and destruction, of wanton destruction, for psychopaths, in full battle cry, of physical violence, of irreparable harm, of mass destruction, of hammers, to destroy the enemy, for gratuitous violence, of annihilation, hammering at the door, hammering on the door, full of hammers, of rusty hammers, holding a hammer, with a sledgehammer, breaking bones, breaking heads, crushing dissent, smiting frost giants, to eradicate","running away, blocking, fleeing","destructive a destroyer, a barbarian, a caveman, a demolition man a hammer, a sledgehammer, an onslaught, a mallet, a sledge hammer blow, a sledgehammer blow, the brutality, a barrage, a battering, a hammering, a hammer blow, a sledgehammer smash, the clubbing, a crackdown, a wrecking ball, a jackhammer, a steamroller, depopulation of destruction, of impending doom, of bloody destruction, of death and destruction, of wanton destruction, for psychopaths, in full battle cry, of physical violence, of irreparable harm, of mass destruction, of hammers, to destroy the enemy, for gratuitous violence, of annihilation, hammering at the door, hammering on the door, full of hammers, of rusty hammers, holding a hammer, with a sledgehammer, breaking bones, breaking heads, crushing dissent, smiting frost giants, to eradicate"
disagreeing,pose,"a naysayer, a denier, a disputant, a debater","a denial, a contradiction, a disagreement","of abstinence, of denial",silencing,"disagreeing a naysayer, a denier, a disputant, a debater a denial, a contradiction, a disagreement of abstinence, of denial"
disgusted,pose,"a snob, an elitist, a sad sack",,"of revulsion, of repulsion","disgusting, vomiting","disgusted a snob, an elitist, a sad sack  of revulsion, of repulsion"
eluding,pose,"a runaway, a fugitive, an escapee, a hermit, a misanthrope, a survivalist","a hideaway, a hideout, a refuge, privacy","on the run, without a master, from injustice, of seclusion, wanted for questioning, fleeing a crime scene, avoiding work, eluding authorities, eluding capture, eluding FBI profilers, eluding imperial storm-troopers, eluding Republicans, eluding the CIA, eluding the FBI, evading mercenaries, avoiding paparazzi, hiding from the public, eluding hunters","searching, hunting, siccing","eluding a runaway, a fugitive, an escapee, a hermit, a misanthrope, a survivalist a hideaway, a hideout, a refuge, privacy on the run, without a master, from injustice, of seclusion, wanted for questioning, fleeing a crime scene, avoiding work, eluding authorities, eluding capture, eluding FBI profilers, eluding imperial storm-troopers, eluding Republicans, eluding the CIA, eluding the FBI, evading mercenaries, avoiding paparazzi, hiding from the public, eluding hunters"
escaping,pose,"a runaway, a fugitive, an escapee, a runaway slave","prison bars, a prison break, a prison cell, an escape route, an escape from a life, an escape from the horrors","on the loose, of liberty, without bars, with no walls, without walls, plotting a jailbreak, from custody, from prison, from jail, from injustice, from everyday boundaries, from lawful custody, from legal custody, struggling to escape, making escape plans, organizing prison breaks, for escapists",hindering,"escaping a runaway, a fugitive, an escapee, a runaway slave prison bars, a prison break, a prison cell, an escape route, an escape from a life, an escape from the horrors on the loose, of liberty, without bars, with no walls, without walls, plotting a jailbreak, from custody, from prison, from jail, from injustice, from everyday boundaries, from lawful custody, from legal custody, struggling to escape, making escape plans, organizing prison breaks, for escapists"
fighting,pose,"a fighter, a contender, a heavyweight, a brawler, a combatant","a fist, a fistfight, a fight, a brawl, a clash, the fight, conflict","in the fight, in battle, of a fight","blocking, defensive, defiant","fighting a fighter, a contender, a heavyweight, a brawler, a combatant a fist, a fistfight, a fight, a brawl, a clash, the fight, conflict in the fight, in battle, of a fight"
fighting with beard,pose,"a fighter, a contender, a heavyweight, a brawler","a fist, a fistfight, a fight, a brawl, a clash, the fight, conflict","in the fight, in battle, of a fight","blocking, defensive, defiant","fighting with beard a fighter, a contender, a heavyweight, a brawler a fist, a fistfight, a fight, a brawl, a clash, the fight, conflict in the fight, in battle, of a fight"
haughty,pose,"an elitist, a winner, a victor, a shining example, a champion, a true champion, a prize winner, a rising star, a true world champion, a world champion, a worthy winner, an MVP, an egomaniac, an over achiever, a high achiever, a braggart, an Oscar winner, a star player,  a gold medallist","a pedestal, a trophy, a triumph, a victory, a win, an award, an achievement, a prize, a strong record, a track record, the prizes, a medal, a record amount, of a true champion","of great talent, of considerable talent, of exceptional talent, of extraordinary talent, of immense talent, to success, of outstanding ability, of numerous awards, of considerable gifts, of glory, of enormous talent, to human achievement, of excellence, of success, for first place, for academic achievement, for success, for victory, for winning, to the top, for outstanding performance, of triumph, for the winner, full of trophies, of victory, for unbridled success, for a prize, of many accomplishments, with the star player, of a world champion, of a true star, of a rising star, filled with accomplishments, destined for greatness, of ambition, with big dreams, with winning ways, on a winning streak,  to a heavyweight title, breaking records, coasting on past glories, winning boxing matches, winning cycling races, winning gold medals, winning golf tournaments, winning heavyweight titles, winning Oscars, winning swimming competitions, winning tennis grand slams, winning tennis matches, winning tennis tournaments","overshadowed, saluting, impressed","haughty an elitist, a winner, a victor, a shining example, a champion, a true champion, a prize winner, a rising star, a true world champion, a world champion, a worthy winner, an MVP, an egomaniac, an over achiever, a high achiever, a braggart, an Oscar winner, a star player,  a gold medallist a pedestal, a trophy, a triumph, a victory, a win, an award, an achievement, a prize, a strong record, a track record, the prizes, a medal, a record amount, of a true champion of great talent, of considerable talent, of exceptional talent, of extraordinary talent, of immense talent, to success, of outstanding ability, of numerous awards, of considerable gifts, of glory, of enormous talent, to human achievement, of excellence, of success, for first place, for academic achievement, for success, for victory, for winning, to the top, for outstanding performance, of triumph, for the winner, full of trophies, of victory, for unbridled success, for a prize, of many accomplishments, with the star player, of a world champion, of a true star, of a rising star, filled with accomplishments, destined for greatness, of ambition, with big dreams, with winning ways, on a winning streak,  to a heavyweight title, breaking records, coasting on past glories, winning boxing matches, winning cycling races, winning gold medals, winning golf tournaments, winning heavyweight titles, winning Oscars, winning swimming competitions, winning tennis grand slams, winning tennis matches, winning tennis tournaments"
hiding,pose,"a recluse, a hermit, a milque toast",a hideout,"on the run, in enemy territory, to hide behind, in the ghetto, hiding from extremists, surviving fatwas, of survival","hunting, searching, siccing","hiding a recluse, a hermit, a milque toast a hideout on the run, in enemy territory, to hide behind, in the ghetto, hiding from extremists, surviving fatwas, of survival"
hindering,pose,"an obstacle, a hindrance",,"to prevent, to hinder, to stop, to impede, to block","defiant, blocking","hindering an obstacle, a hindrance  to prevent, to hinder, to stop, to impede, to block"
hitting,pose,"a hitter, ","a fist, a punch, a blow, an assault, a fighting chance, a martial arts blow, a sturdy punch, a swift blow, a wrestler, a smack, a thump, an uppercut, a barroom fight, a criminal abuse","in the fight, with brass knuckles, of domestic violence, in a fight, in an abusive relationship, during a fight, without a sword, without a blade, for self defense, of brass knuckles, with the fist, of a wallop, in close combat","blocking, defensive, defiant","hitting a hitter,  a fist, a punch, a blow, an assault, a fighting chance, a martial arts blow, a sturdy punch, a swift blow, a wrestler, a smack, a thump, an uppercut, a barroom fight, a criminal abuse in the fight, with brass knuckles, of domestic violence, in a fight, in an abusive relationship, during a fight, without a sword, without a blade, for self defense, of brass knuckles, with the fist, of a wallop, in close combat"
slapping,pose,a slapper,"a slap, a bitch slap, a clatter, a slap in the face, a smack",in an abusive relationship,"blocking, defensive, defiant","slapping a slapper a slap, a bitch slap, a clatter, a slap in the face, a smack in an abusive relationship"
staking,pose,"a vampire hunter, a vampire killer","a sharp stick, a stake, a wooden stake, an icepick, an ice pick","through the heart, in the heart, with a sharp stick, on a stick","rising from coffin, preying","staking a vampire hunter, a vampire killer a sharp stick, a stake, a wooden stake, an icepick, an ice pick through the heart, in the heart, with a sharp stick, on a stick"
poking,pose,"a poker, pointer","a poke, a prod, a poke in the eye, a jab in the eye",in an abusive relationship,"blocking, defensive, covering eyes","poking a poker, pointer a poke, a prod, a poke in the eye, a jab in the eye in an abusive relationship"
kicking,pose,"a kicker, a martial artist","a kick, a high kick, a karate kick, a swift kick, a strong kick, a roundhouse kick, a mule kick, a punt","in an ass kicking contest, in an arse kicking competition, at an ass kicking contest, at an arse kicking contest, at an arse kicking party, in a butt kicking contest, kicking ass, performing kung-fu moves, starring in kung-fu movies, teaching martial arts","blocking, defensive, defiant","kicking a kicker, a martial artist a kick, a high kick, a karate kick, a swift kick, a strong kick, a roundhouse kick, a mule kick, a punt in an ass kicking contest, in an arse kicking competition, at an ass kicking contest, at an arse kicking contest, at an arse kicking party, in a butt kicking contest, kicking ass, performing kung-fu moves, starring in kung-fu movies, teaching martial arts"
hunting,pose,"a hunter, female:a huntress, a big game hunter","a hunt, a pursuit, the pursuit, a chase, a vanguard, a search party","on the hunt, to root out crime, teeming with wildlife, pursued by hounds, chasing rabbits, chasing cats, hunting aliens, hunting monsters, pursuing criminals, hunting raccoons","hiding, eluding, running off, running away","hunting a hunter, female:a huntress, a big game hunter a hunt, a pursuit, the pursuit, a chase, a vanguard, a search party on the hunt, to root out crime, teeming with wildlife, pursued by hounds, chasing rabbits, chasing cats, hunting aliens, hunting monsters, pursuing criminals, hunting raccoons"
